outcome,depth_atr,pullback_bars,volatility_ratio,impulse_size_atr,breakout_strength,hour,mfe_atr,mae_atr
1,1.555,2,0.94,1.32,0.921,16,1.915,-0.096
0,1.007,2,0.518,1.777,0.538,4,0.538,-1.304
0,2.016,3,0.754,1.195,0.016,6,0.176,-1.577
1,1.467,3,1.118,1.344,0.279,19,1.466,-0.995
0,1.274,2,0.626,1.856,0.294,23,0.294,-2.127
0,1.066,4,1.067,1.1,0.203,20,0.203,-2.726
1,1.93,2,0.835,2.445,0.15,12,1.758,-0.896
1,1.104,2,0.903,2.011,0.043,12,1.156,-0.596
1,1.911,3,1.079,1.291,0.484,2,1.389,-0.365
1,1.637,3,0.857,0.795,2.139,10,2.139,-0.542
0,2.268,2,1.541,2.267,0.053,14,0.053,-2.655
0,1.316,3,0.732,1.228,0.764,17,0.764,-1.343
1,1.398,3,0.898,3.715,7.969,22,7.969,-0.359
1,3.516,2,0.911,1.709,1.149,12,1.149,-2.021
0,1.942,4,0.515,1.408,0.062,1,0.129,-1.605
1,2.052,3,1.064,3.018,0.287,3,1.038,-0.155
0,1.411,2,0.865,1.259,0.834,15,0.834,-2.022
0,1.58,3,1.0,1.692,0.476,13,0.476,-3.11
1,1.519,2,1.203,3.095,0.453,7,2.282,-0.306
1,1.409,2,1.197,2.528,1.564,8,1.564,-0.087
0,6.097,2,1.387,2.428,0.013,12,0.013,-3.448
0,1.142,2,1.18,1.432,0.186,4,0.186,-1.99
1,3.772,2,1.185,2.428,0.57,0,1.086,-0.685
1,2.283,2,0.865,2.491,0.766,16,1.139,-0.236
1,1.081,2,1.484,2.083,0.056,22,2.178,-0.888
0,1.366,2,0.824,2.849,0.091,11,0.091,-2.095
0,1.489,3,0.755,1.126,0.557,23,0.557,-2.291
1,1.403,2,1.243,2.682,0.214,5,1.058,-0.313
1,1.274,2,1.308,0.999,0.253,6,1.05,-0.744
1,1.899,2,0.841,1.623,1.613,1,1.613,-0.128
0,1.005,2,0.846,1.185,0.77,18,0.77,-1.916
0,1.133,2,0.929,1.618,0.025,5,0.169,-1.967
1,1.835,3,0.917,1.022,0.312,5,1.64,-0.0
1,1.973,3,0.974,2.305,0.341,11,1.156,-0.292
1,2.716,3,1.121,1.332,0.44,4,1.183,-0.341
0,1.401,2,0.771,2.263,0.694,6,0.694,-1.53
1,1.59,2,0.805,1.468,0.302,5,1.398,-0.098
0,1.781,3,1.06,1.418,0.039,11,0.123,-1.53
1,1.467,2,0.814,1.443,1.439,13,1.439,-0.541
0,1.448,2,0.719,1.684,0.067,17,0.146,-1.326
0,1.101,2,0.733,1.747,0.633,21,0.633,-3.221
1,1.759,2,1.483,1.53,0.812,0,2.296,-0.19
1,1.583,2,1.169,1.275,0.867,15,1.055,-0.06
1,1.481,2,0.944,1.589,0.195,18,1.04,-0.714
1,1.213,3,0.794,1.294,0.935,20,1.869,-0.421
0,1.144,3,1.234,1.794,0.24,21,0.625,-1.372
0,1.663,3,0.867,1.471,0.287,10,0.287,-1.725
1,1.162,2,0.822,1.183,1.293,18,1.293,-0.041
1,1.105,2,0.762,1.182,1.789,8,1.789,-0.211
0,1.503,2,0.717,2.042,0.404,3,0.404,-1.382
1,2.189,2,0.709,1.304,2.053,9,2.053,-0.041
0,1.113,2,1.071,1.731,0.355,10,0.59,-1.687
0,1.078,3,1.055,1.886,0.271,19,0.271,-1.304
0,1.967,3,0.954,1.859,0.507,23,0.507,-1.799
0,2.314,3,1.429,2.329,0.42,13,0.42,-2.203
0,2.215,4,1.628,1.643,0.639,17,0.639,-2.329
0,1.784,3,0.948,1.739,0.376,5,0.376,-1.963
1,1.709,2,0.909,1.248,0.465,6,1.935,-0.308
1,1.524,2,0.782,1.592,1.52,9,1.52,-0.0
0,1.604,2,0.943,1.163,0.111,11,0.534,-1.558
1,1.6,4,1.128,2.691,1.258,12,1.258,-0.335
0,1.333,2,0.773,1.727,0.584,19,0.886,-1.332
0,1.233,2,0.69,1.934,0.228,18,0.228,-1.371
1,1.296,2,0.758,1.485,0.869,19,1.823,-0.04
1,1.356,2,0.848,0.993,0.088,3,1.086,-0.663
0,1.378,3,0.958,2.044,0.431,1,0.934,-2.589
1,2.804,2,0.952,1.755,2.757,7,2.757,-0.401
1,1.87,2,1.066,2.259,0.659,20,1.654,-0.251
1,2.199,2,0.894,3.68,0.512,6,11.14,-1.001
0,1.331,2,0.694,1.475,0.782,10,0.782,-1.341
1,1.117,3,1.123,2.199,1.041,15,1.041,-0.068
0,1.201,2,1.076,1.446,0.556,9,0.556,-1.342
1,1.612,2,0.989,2.133,1.09,6,1.09,-0.0
1,1.725,2,0.757,1.688,0.246,6,1.803,-0.833
0,1.138,3,1.34,1.016,0.184,12,0.184,-1.602
1,1.016,3,0.801,1.357,1.431,4,1.431,-0.0
0,1.845,2,0.918,1.751,0.046,5,0.046,-1.365
1,1.099,3,1.045,1.263,1.841,6,1.841,-0.138
1,1.164,2,0.892,1.013,0.32,9,2.128,-0.202
1,1.937,2,0.867,2.398,0.741,5,1.869,-0.572
1,1.421,3,1.002,1.597,1.813,7,1.813,-0.481
1,1.287,2,0.759,1.265,0.485,21,1.043,-1.099
0,1.152,2,0.717,1.897,0.42,9,0.42,-1.43
1,1.726,2,1.214,1.599,0.346,16,1.387,-0.039
0,1.524,2,1.696,1.996,0.55,23,0.592,-1.654
0,2.211,2,0.864,1.965,0.09,22,0.09,-1.65
1,1.094,4,1.122,2.431,0.699,11,1.046,-0.081
1,1.662,3,1.316,3.724,0.764,13,1.227,-0.209
0,1.297,3,0.685,2.002,0.764,18,0.764,-2.654
0,1.39,3,0.945,1.101,0.369,23,0.369,-1.922
1,1.343,2,1.141,3.297,0.169,0,4.038,-0.615
0,1.641,3,1.441,2.938,0.326,1,0.737,-1.314
1,1.039,4,1.446,1.005,0.542,4,1.021,-0.516
0,1.505,2,0.754,2.244,0.114,6,0.832,-2.736
1,2.225,2,1.118,1.739,0.346,13,1.025,-0.832
1,2.135,2,0.877,2.377,0.898,8,1.328,-0.131
1,1.911,3,1.645,2.157,0.979,15,1.404,-0.401
1,1.12,2,1.43,1.137,0.18,16,1.356,-0.321
0,1.197,2,0.917,1.709,0.292,10,0.292,-1.541
1,1.094,2,0.979,2.612,0.652,18,1.265,-0.055
1,1.188,2,1.257,1.443,0.836,18,1.028,-0.07
1,1.3,3,0.754,1.388,2.054,22,2.054,-0.189
0,2.692,2,0.953,2.566,0.751,9,0.751,-1.921
0,1.011,2,0.855,1.041,0.765,19,0.765,-1.504
1,1.978,2,0.859,0.771,0.741,5,1.08,-0.697
1,1.141,2,0.937,1.753,0.781,5,1.364,-0.195
1,2.971,2,0.726,1.472,0.161,10,1.853,-1.468
0,1.331,2,0.663,1.781,0.017,19,0.017,-1.946
1,1.939,2,1.312,1.399,0.363,15,1.53,-0.786
0,1.071,2,1.364,1.496,0.076,13,0.076,-1.756
1,2.481,4,0.785,1.363,0.0,19,1.376,-0.792
1,1.312,2,1.451,0.76,0.575,2,1.38,-0.037
1,1.836,4,1.002,1.222,0.503,22,2.784,-0.965
0,1.285,4,0.811,1.628,0.049,3,0.049,-1.624
1,1.09,2,1.014,2.564,0.012,9,1.532,-0.457
1,1.475,2,1.032,1.865,0.861,2,1.513,-0.261
0,2.411,4,0.964,0.726,0.428,6,0.428,-2.843
1,1.287,2,0.848,2.733,2.46,17,2.46,-0.167
1,1.893,4,0.845,1.903,0.014,0,1.683,-0.432
0,1.032,2,0.941,0.932,0.202,7,0.202,-1.409
1,1.015,2,1.02,0.962,0.93,8,1.293,-0.102
0,1.389,4,0.898,0.999,0.247,11,0.577,-2.752
1,1.28,2,0.928,1.612,0.26,20,1.725,-0.292
1,2.594,2,0.97,1.29,1.04,12,1.04,-0.423
0,1.068,2,1.113,2.047,0.28,17,0.28,-2.156
0,1.324,2,1.032,0.979,0.1,8,0.1,-1.764
1,1.565,2,1.809,0.991,1.229,20,1.229,-0.3
1,1.587,4,0.728,1.582,0.196,18,1.068,-0.434
1,1.578,2,1.055,2.217,0.447,20,1.316,-0.515
0,1.21,3,0.639,1.729,0.307,0,0.307,-1.653
0,1.276,2,0.999,0.787,0.4,10,0.4,-1.787
1,1.175,4,1.084,1.553,1.228,6,1.228,-0.0
0,1.774,2,1.358,1.35,0.203,14,0.298,-1.315
0,1.608,4,0.748,1.689,0.186,10,0.186,-1.774
1,1.504,3,0.998,2.852,4.202,12,4.202,-0.0
0,1.453,2,2.272,1.508,0.07,14,0.748,-1.931
1,1.567,2,1.134,2.279,1.004,2,1.004,-0.346
0,1.097,2,1.461,2.632,0.069,8,0.069,-1.864
0,1.297,2,0.712,1.983,0.35,8,0.922,-1.756
0,1.516,4,0.979,2.95,0.505,11,0.607,-1.425
1,1.075,3,0.738,1.386,2.155,7,2.155,-0.0
0,1.052,3,0.439,2.137,0.136,20,0.136,-1.725
0,1.789,2,0.588,2.58,0.745,6,0.895,-1.415
0,1.04,2,0.726,2.375,0.07,7,0.261,-1.583
0,1.476,4,0.717,1.299,0.274,4,0.274,-2.294
0,3.042,2,0.895,0.849,0.921,6,0.921,-3.358
1,1.382,3,1.475,1.44,0.775,8,1.116,-0.364
0,1.513,2,0.806,2.456,0.924,21,0.924,-1.317
1,8.887,3,1.458,0.963,1.177,22,1.177,-4.89
1,1.366,2,1.482,2.363,0.324,2,1.401,-0.879
0,1.121,3,1.765,3.114,0.122,8,0.355,-1.793
1,1.317,4,1.251,2.924,0.541,10,1.409,-0.334
1,1.387,2,1.635,1.703,0.191,23,1.779,-0.709
0,1.111,2,1.109,1.436,0.218,4,0.267,-1.722
1,1.255,2,1.078,0.944,2.917,9,2.917,-0.204
1,1.297,3,0.837,1.126,1.026,22,1.026,-0.154
0,1.059,2,1.096,3.578,0.089,14,0.089,-2.194
1,1.062,3,1.575,3.732,0.0,21,1.572,-0.9
0,1.642,2,0.894,2.728,0.732,4,0.732,-1.326
1,1.181,2,0.835,1.383,0.446,9,1.66,-0.463
1,1.427,4,0.62,1.363,0.719,8,1.156,-0.899
0,1.204,2,0.998,1.094,0.327,12,0.327,-1.405
0,1.445,3,0.749,1.65,0.345,19,0.345,-1.676
0,1.211,2,0.724,2.117,0.337,22,0.337,-1.737
0,1.722,3,1.052,1.428,0.328,16,0.328,-1.311
1,1.478,3,1.046,2.253,1.463,23,1.463,-0.01
0,1.222,4,0.957,1.492,0.14,11,0.14,-1.301
1,1.909,2,1.158,0.935,0.48,16,1.384,-0.312
1,1.215,3,0.642,1.072,0.331,18,1.31,-1.187
1,1.485,3,0.519,0.137,1.76,5,1.76,-0.001
0,1.205,4,1.286,1.434,0.973,9,0.973,-1.335
1,1.07,2,0.937,2.543,0.831,3,1.098,-0.055
1,1.016,2,1.246,1.163,1.81,16,1.81,0.0
1,1.534,2,0.826,0.853,0.311,19,1.027,-0.469
0,2.51,3,0.76,2.035,0.37,0,0.575,-3.131
1,1.29,2,0.882,1.528,0.42,0,1.525,-0.147
1,1.044,2,1.631,2.644,1.035,15,1.035,-0.024
0,1.653,2,1.348,1.314,0.407,16,0.736,-1.577
1,1.143,2,0.846,1.528,0.093,17,1.099,-1.192
1,1.094,2,0.963,2.31,0.971,10,1.281,-1.292
1,1.323,2,2.101,2.949,1.35,15,1.35,-0.404
0,1.473,2,1.386,2.483,0.499,14,0.98,-1.722
1,1.979,2,0.886,1.981,0.04,12,1.156,-1.299
0,1.232,3,0.792,1.383,0.2,23,0.428,-1.304
1,1.542,3,0.758,1.889,0.629,9,2.505,-0.0
0,2.431,2,0.981,1.285,0.234,12,0.316,-1.439
0,2.523,3,0.953,1.487,0.471,16,0.471,-2.663
1,1.619,3,0.945,1.23,0.343,1,1.177,-0.905
1,1.073,4,0.847,1.745,0.266,10,1.038,-0.776
1,1.508,2,0.729,2.094,0.066,1,1.975,-0.96
1,1.152,2,0.876,2.903,0.994,1,1.517,-0.391
1,1.144,2,0.921,1.008,0.581,6,1.112,-1.229
1,1.25,2,0.892,1.259,0.332,23,2.067,-0.282
0,2.326,4,1.082,2.642,0.203,2,0.203,-1.357
1,1.157,2,0.724,1.359,1.349,19,1.349,-0.0
1,1.226,2,0.78,0.816,0.298,23,1.175,-0.311
0,1.206,2,0.492,3.493,0.29,4,0.29,-1.821
1,1.314,3,1.036,2.377,0.551,9,1.001,-0.739
1,1.88,3,0.896,2.752,0.463,14,1.764,-0.33
1,1.296,3,0.894,1.205,0.171,12,2.311,-0.374
1,1.456,2,1.35,0.935,2.815,14,2.815,-0.263
1,1.566,2,0.904,1.495,0.403,17,1.325,-0.394
1,1.44,2,0.752,1.148,1.18,18,1.18,-0.308
1,1.423,2,0.93,1.646,0.393,2,1.779,-0.552
1,3.734,3,1.278,1.675,1.712,8,1.712,-0.889
0,1.013,4,0.918,2.052,0.269,4,0.269,-1.356
0,1.083,2,0.685,1.189,0.09,17,0.09,-1.774
1,1.206,3,0.616,1.52,1.494,18,1.494,-0.105
1,1.471,2,0.675,2.693,0.261,18,1.054,-0.819
0,1.267,3,0.746,1.432,0.229,20,0.229,-1.543
1,1.263,3,0.948,1.294,0.452,17,1.009,-0.418
0,1.692,2,0.6,1.351,0.115,18,0.797,-1.841
1,1.292,2,1.939,1.315,0.621,8,1.581,-0.233
1,1.726,3,1.204,3.475,0.292,11,1.704,-0.592
